Title,Year,Rating10,WatchedDate
Downsizing,2017,3,2023-02-16
La Pièce rapportée,2021,6,2023-01-07
About Time,2013,4,2022-10-31
Eiffel,2021,6,2022-09-19
Le Pari,1997,7,2022-08-27
Marie-Francine,2017,5,2022-07-18
Tout le monde debout,2018,6,2022-05-28
Boîte noire,2021,7,2022-05-05
The Adam Project,2022,4,2022-03-23
Mon inconnue,2019,7,2022-02-12
The Place Beyond the Pines,2013,7,2022-02-07
Felicità,2020,6,2022-02-05
The Art of Self-Defense,,6,2022-02-05
Copshop,2021,6,2022-01-17
Room,2015,6,2022-01-16
The Lost Daughter,2021,6,2022-01-08
Don't Look Up,2021,6,2022-01-03
Last Christmas,2019,5,2021-12-26
L'Amour flou,2018,7,2021-12-24
Le monde est à toi,2018,7,2021-12-21
Promising Young Woman,2020,6,2021-12-11
"Tick, Tick... Boom!",2021,8,2021-11-20
War Dogs,2016,6,2021-11-12
Greenland,2020,5,2021-10-30
J'accuse,2019,7,2021-10-28
The Map of Tiny Perfect Things,2021,6,2021-09-04
Mandibules,2021,7,2021-08-17
Love and Monsters,2020,6,2021-08-16
The Matrix,1999,9,
L'Ascension,2017,6,
Énorme,2020,8,2021-06-15
Antoinette dans les Cévennes,2020,6,2021-05-31
The Father,2021,9,2021-05-26
Suburbicon,2017,7,2021-05-24
Druk,2020,8,2021-04-23
Contratiempo,2017,7,
Whiplash,2014,9,2015-01-28
La La Land,2016,10,2017-04-23
The Post,2017,7,2021-03-20
Tout simplement noir,2020,7,2021-03-16
Le Goût des autres,2000,6,2021-01-21
Pieces of a Woman,2021,7,2021-01-19
Didier,1997,6,2021-01-18
L'incredibile storia dell'isola delle rose,2020,7,2021-01-16
"Plaire, aimer et courir vite",2018,7,2021-01-15
La Chute de l'empire américain,2018,7,2021-01-11
Changeling,2008,7,2021-01-04
Dark Waters,2019,7,
Going in Style,2017,6,2020-12-30
The Prom,2020,6,2020-12-29
Death to 2020,2020,7,2020-12-28
Jamais le premier soir,2014,4,2020-12-26
Alice in Wonderland,2010,6,
Jojo Rabbit,2019,7,2020-12-12
Palm Springs,2020,7,2020-12-11
Midnight in Paris,2011,8,2020-12-08
Back to the Future Part III,1990,8,
Los Cronocrímenes,2008,6,2020-12-08
Hot Tub Time Machine,2010,6,2020-12-07
Triangle,2009,5,
Victoria,2015,8,
Connectés,2020,3,2020-12-02
It's a Wonderful Life,1946,8,
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,7,
Tenet,2020,7,
Joker,2019,8,2019-10-28
Play,2020,7,2020-11-23
Le Meilleur reste à venir,2019,4,2020-11-23
Cherchez la femme,2017,5,2020-11-21
Larguées,2018,6,
