Title,Year,Rating10,WatchedDate
En corps,2022,,
Sharper,2023,,
Last Night in Soho,2021,,
Mean Girls,2004,,
The Banshees of Inisherin,2022,,
Two/One,2019,,
The Batman,2022,,
Novembre,2022,,
Les Cinq Diables,2022,,
Call Me by Your Name,2018,,
L'Innocent,2022,,
Triangle of Sadness,2022,,
Speed Racer,2008,,
Nope,2022,,
Elvis,2022,,
La Traversée,2022,,
Coupez !,2022,,
The Florida Project,2017,,
Walk Hard: The Dewey Cox Story,2007,,
The Lincoln Lawyer,2011,,
En guerre,2018,,
Aline,2021,,
Funny People,2009,,
Illusions perdues,2021,,
Enquête sur un scandale d'État,2022,,
Hotel Rwanda,2004,,
The Outpost,2020,,
Sorry to Bother You,2018,,
Glass Onion: A Knives Out Mystery,2022,,
Les Méchants,2021,,
Licorice Pizza,2021,,
The Tragedy of Macbeth,2021,,
Pig,2021,,
Libre et Assoupi,2014,,
Babel,2006,,
Le Dernier Métro,1980,,
Eighth Grade,2018,,
Pop Redemption,2013,,
The Suicide Squad,2021,,
Benedetta,2021,,
The Power of the Dog,2021,,
All Is Lost,2013,,
Incendies,2010,,
Dune,2021,,
Starbuck,2011,,
Event Horizon,1997,,
Blindspotting,,,
Good Boys,2019,,
Inside Man,2006,,
Pleasure,2021,,
The Last Duel,2021,,
Boss Level,2021,,
Annette,2021,,
Titane,2021,,
Free Guy,2021,,
La French,2014,,
BAC Nord,2021,,
Premières Vacances,2019,,
Sound of Metal,2020,,
The Myth of the American Sleepover,2010,,
Judas and the Black Messiah,2021,,
No Time to Die,2021,,
Kol,2020,,
Nomadland,2021,,
Eddie the Eagle,2016,,
The White Tiger,2021,,
Une femme de ménage,2002,,
Comme une image,2004,,
The Devil All the Time,2020,,
A Beautiful Day in the Neighborhood,2019,,
Ford v Ferrari,2019,,
"Extremely Wicked, Shockingly Evil and Vile",2019,,
Radioactive,2020,,
Moneyball,2011,,
Amour,2012,,
The Midnight Sky,2020,,
Aruitemo aruitemo,2008,,
The Invisible Man,2020,,
Nous finirons ensemble,2019,,
Twelve Monkeys,1995,,
Madre,2019,,
The Lighthouse,2019,,
La Dernière Vie de Simon,2020,,
Jipuragirado Jabgo Sipeun Jimseungdeul,2020,,
Richard Jewell,2019,,
Adieu les cons,2020,,
The King of Staten Island,2020,,
On the Rocks,2020,,
ADN,2020,,
Gagarine,2021,,
Été 85,2020,,
Deux,2020,,
Mignonnes,2020,,
La Bataille de Solférino,2013,,
Sibyl,2019,,
High Fidelity,2000,,
BlacKkKlansman,2018,,
The House That Jack Built,2018,,
Déjà Vu,2006,,
Edge of Tomorrow,2014,,
The Purge,2013,,
Shéhérazade,2018,,
Effacer l'historique,2020,,
Swallow,2019,,
Stella,2008,,
Berlin Calling,2008,,
Judy,2019,,
The Farewell,2019,,
Busanhaeng,2016,,
Contact,1997,,
Mid90s,2018,,
Proxima,2019,,
Climax,2018,,
Grave,2017,,
Le Redoutable,2017,,
Jusqu'à la garde,2018,,
American Beauty,1999,,
Edmond,2019,,
Capharnaüm,2018,,
El ángel,2018,,
The Mule,2018,,
Beasts of No Nation,2015,,
Watchmen,2009,,
Je suis à vous tout de suite,2015,,
La Vie très privée de Monsieur Sim,2015,,
Ôtez-moi d'un doute,2017,,
La Lutte des classes,2019,,
Operation Finale,2018,,
Overlord,2018,,
Agasshi,2016,,
Alita: Battle Angel,2019,,
Grâce à Dieu,2019,,
Dumbo,2019,,
Chacun cherche son chat,1996,,
The Favourite,2018,,
L'Heure de la sortie,2019,,
Inside Llewyn Davis,2013,,
Under the Silver Lake,2018,,
Dunkirk,2017,,
"Three Billboards Outside Ebbing, Missouri",2017,,
Okja,2017,,
Teoneol,2016,,
This is England,2007,,
Lion,2016,,
Hacksaw Ridge,2016,,
Doctor Strange,2016,,
Låt den rätte komma in,2008,,
We Own the Night,2007,,
The Man from U.N.C.L.E.,2015,,
Snowden,2016,,
Nunta mută,,,
Toni Erdmann,2016,,
My Name Is Joe,1998,,
The Thin Red Line,1998,,
Juste la fin du monde,2016,,
Elle,2016,,
The Nice Guys,2016,,
Nocturama,2016,,
Café Society,2016,,
The Jungle Book,2016,,
Quand on a 17 ans,2016,,
The Neon Demon,2016,,
American Gangster,2007,,
"Les Premiers, les Derniers",2016,,
Braqueurs,2016,,
Whatever Works,2009,,
Steve Jobs,2015,,
Sicario,2015,,
Everest,2015,,
Taxi,2015,,
Kingsman: The Secret Service,2015,,
Crazy Stupid Love,2011,,
The Visit,2015,,
La isla mínima,2014,,
Réalité,2015,,
Brazil,1985,,
Cidade de Deus,2002,,
12 Angry Men,1957,,
A Most Violent Year,2014,,
Take Shelter,2011,,
Almost Famous,2000,,
Dallas Buyers Club,2013,,
Les Combattants,2014,,
Palo Alto,2014,,
Traffic,2000,,
Human Traffic,1999,,
Primer,2004,,
Les Beaux Jours,2013,,
Nymphomaniac : Volume 1,2013,,
Suzanne,2013,,
Grand Central,2013,,
American Hustle,2013,,
The Master,2012,,
Monster,2003,,
Hundraåringen som klev ut genom fönstret och försvann,2013,,
X-Men: Days of Future Past,2014,,
Saving Grace,2000,,
Song for Marion,2013,,
Children of Men,2006,,
Ender's Game,2013,,
Jackass Presents: Bad Grandpa,2013,,
Taxi Driver,1976,,
Ray,2004,,
Machete Kills,2013,,
You're Next,2013,,
Tarnation,2004,,
Zero Dark Thirty,2012,,
Les Tontons flingueurs,1963,,
The Perks of Being a Wallflower,2012,,
Taken,2008,,
The Road,2009,,
La vita è bella,1997,,
Flight,2012,,
A Clockwork Orange,1971,,
